"Notes"	"Cancer Sites"	"Cancer Sites Code"	"States"	"States Code"	"Year"	"Year Code"	"Age Groups"	"Age Groups Code"	"Sex"	"Sex Code"	Count
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"1999"	"1999"	"35-39 years"	"35-39"	"Male"	"M"	21
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"1999"	"1999"	"40-44 years"	"40-44"	"Female"	"F"	30
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"1999"	"1999"	"40-44 years"	"40-44"	"Male"	"M"	49
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"1999"	"1999"	"45-49 years"	"45-49"	"Female"	"F"	42
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"1999"	"1999"	"45-49 years"	"45-49"	"Male"	"M"	71
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"1999"	"1999"	"50-54 years"	"50-54"	"Female"	"F"	76
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"1999"	"1999"	"50-54 years"	"50-54"	"Male"	"M"	158
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"1999"	"1999"	"55-59 years"	"55-59"	"Female"	"F"	114
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"1999"	"1999"	"55-59 years"	"55-59"	"Male"	"M"	267
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"1999"	"1999"	"60-64 years "	"60-64"	"Female"	"F"	178
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"1999"	"1999"	"60-64 years "	"60-64"	"Male"	"M"	317
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"1999"	"1999"	"65-69 years"	"65-69"	"Female"	"F"	210
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"1999"	"1999"	"65-69 years"	"65-69"	"Male"	"M"	454
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"1999"	"1999"	"70-74 years"	"70-74"	"Female"	"F"	230
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"1999"	"1999"	"70-74 years"	"70-74"	"Male"	"M"	443
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"1999"	"1999"	"75-79 years"	"75-79"	"Female"	"F"	191
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"1999"	"1999"	"75-79 years"	"75-79"	"Male"	"M"	312
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"1999"	"1999"	"80-84 years"	"80-84"	"Female"	"F"	94
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"1999"	"1999"	"80-84 years"	"80-84"	"Male"	"M"	176
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"1999"	"1999"	"85+ years"	"85+"	"Female"	"F"	71
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"1999"	"1999"	"85+ years"	"85+"	"Male"	"M"	86
	"Respiratory System"	"22010-22060"	"Alaska"	"02"	"1999"	"1999"	"55-59 years"	"55-59"	"Male"	"M"	26
	"Respiratory System"	"22010-22060"	"Alaska"	"02"	"1999"	"1999"	"60-64 years "	"60-64"	"Female"	"F"	21
	"Respiratory System"	"22010-22060"	"Alaska"	"02"	"1999"	"1999"	"60-64 years "	"60-64"	"Male"	"M"	24
	"Respiratory System"	"22010-22060"	"Alaska"	"02"	"1999"	"1999"	"65-69 years"	"65-69"	"Female"	"F"	21
	"Respiratory System"	"22010-22060"	"Alaska"	"02"	"1999"	"1999"	"65-69 years"	"65-69"	"Male"	"M"	28
	"Respiratory System"	"22010-22060"	"Alaska"	"02"	"1999"	"1999"	"70-74 years"	"70-74"	"Female"	"F"	26
	"Respiratory System"	"22010-22060"	"Alaska"	"02"	"1999"	"1999"	"70-74 years"	"70-74"	"Male"	"M"	26
	"Respiratory System"	"22010-22060"	"Alaska"	"02"	"1999"	"1999"	"75-79 years"	"75-79"	"Male"	"M"	22
	"Respiratory System"	"22010-22060"	"Arizona"	"04"	"1999"	"1999"	"40-44 years"	"40-44"	"Male"	"M"	26
	"Respiratory System"	"22010-22060"	"Arizona"	"04"	"1999"	"1999"	"45-49 years"	"45-49"	"Female"	"F"	37
	"Respiratory System"	"22010-22060"	"Arizona"	"04"	"1999"	"1999"	"45-49 years"	"45-49"	"Male"	"M"	56
	"Respiratory System"	"22010-22060"	"Arizona"	"04"	"1999"	"1999"	"50-54 years"	"50-54"	"Female"	"F"	57
	"Respiratory System"	"22010-22060"	"Arizona"	"04"	"1999"	"1999"	"50-54 years"	"50-54"	"Male"	"M"	94
	"Respiratory System"	"22010-22060"	"Arizona"	"04"	"1999"	"1999"	"55-59 years"	"55-59"	"Female"	"F"	112
	"Respiratory System"	"22010-22060"	"Arizona"	"04"	"1999"	"1999"	"55-59 years"	"55-59"	"Male"	"M"	142
