"Notes"	"Cancer Sites"	"Cancer Sites Code"	"States"	"States Code"	"Year"	"Year Code"	"Age Groups"	"Age Groups Code"	"Sex"	"Sex Code"	Count
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2002"	"2002"	"35-39 years"	"35-39"	"Male"	"M"	16
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2002"	"2002"	"40-44 years"	"40-44"	"Female"	"F"	27
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2002"	"2002"	"40-44 years"	"40-44"	"Male"	"M"	36
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2002"	"2002"	"45-49 years"	"45-49"	"Female"	"F"	66
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2002"	"2002"	"45-49 years"	"45-49"	"Male"	"M"	87
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2002"	"2002"	"50-54 years"	"50-54"	"Female"	"F"	87
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2002"	"2002"	"50-54 years"	"50-54"	"Male"	"M"	170
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2002"	"2002"	"55-59 years"	"55-59"	"Female"	"F"	147
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2002"	"2002"	"55-59 years"	"55-59"	"Male"	"M"	275
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2002"	"2002"	"60-64 years "	"60-64"	"Female"	"F"	203
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2002"	"2002"	"60-64 years "	"60-64"	"Male"	"M"	356
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2002"	"2002"	"65-69 years"	"65-69"	"Female"	"F"	251
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2002"	"2002"	"65-69 years"	"65-69"	"Male"	"M"	403
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2002"	"2002"	"70-74 years"	"70-74"	"Female"	"F"	248
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2002"	"2002"	"70-74 years"	"70-74"	"Male"	"M"	417
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2002"	"2002"	"75-79 years"	"75-79"	"Female"	"F"	258
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2002"	"2002"	"75-79 years"	"75-79"	"Male"	"M"	336
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2002"	"2002"	"80-84 years"	"80-84"	"Female"	"F"	132
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2002"	"2002"	"80-84 years"	"80-84"	"Male"	"M"	220
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2002"	"2002"	"85+ years"	"85+"	"Female"	"F"	63
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2002"	"2002"	"85+ years"	"85+"	"Male"	"M"	80
	"Respiratory System"	"22010-22060"	"Alaska"	"02"	"2002"	"2002"	"50-54 years"	"50-54"	"Male"	"M"	17
	"Respiratory System"	"22010-22060"	"Alaska"	"02"	"2002"	"2002"	"55-59 years"	"55-59"	"Male"	"M"	24
	"Respiratory System"	"22010-22060"	"Alaska"	"02"	"2002"	"2002"	"60-64 years "	"60-64"	"Female"	"F"	28
	"Respiratory System"	"22010-22060"	"Alaska"	"02"	"2002"	"2002"	"60-64 years "	"60-64"	"Male"	"M"	28
	"Respiratory System"	"22010-22060"	"Alaska"	"02"	"2002"	"2002"	"65-69 years"	"65-69"	"Female"	"F"	19
	"Respiratory System"	"22010-22060"	"Alaska"	"02"	"2002"	"2002"	"65-69 years"	"65-69"	"Male"	"M"	27
	"Respiratory System"	"22010-22060"	"Alaska"	"02"	"2002"	"2002"	"70-74 years"	"70-74"	"Male"	"M"	31
	"Respiratory System"	"22010-22060"	"Alaska"	"02"	"2002"	"2002"	"75-79 years"	"75-79"	"Male"	"M"	27
	"Respiratory System"	"22010-22060"	"Arizona"	"04"	"2002"	"2002"	"40-44 years"	"40-44"	"Female"	"F"	19
	"Respiratory System"	"22010-22060"	"Arizona"	"04"	"2002"	"2002"	"40-44 years"	"40-44"	"Male"	"M"	29
	"Respiratory System"	"22010-22060"	"Arizona"	"04"	"2002"	"2002"	"45-49 years"	"45-49"	"Female"	"F"	32
	"Respiratory System"	"22010-22060"	"Arizona"	"04"	"2002"	"2002"	"45-49 years"	"45-49"	"Male"	"M"	68
	"Respiratory System"	"22010-22060"	"Arizona"	"04"	"2002"	"2002"	"50-54 years"	"50-54"	"Female"	"F"	81
