"Notes"	"Cancer Sites"	"Cancer Sites Code"	"States"	"States Code"	"Year"	"Year Code"	"Age Groups"	"Age Groups Code"	"Sex"	"Sex Code"	Count
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2014"	"2014"	"40-44 years"	"40-44"	"Male"	"M"	22
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2014"	"2014"	"45-49 years"	"45-49"	"Female"	"F"	37
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2014"	"2014"	"45-49 years"	"45-49"	"Male"	"M"	53
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2014"	"2014"	"50-54 years"	"50-54"	"Female"	"F"	117
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2014"	"2014"	"50-54 years"	"50-54"	"Male"	"M"	176
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2014"	"2014"	"55-59 years"	"55-59"	"Female"	"F"	181
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2014"	"2014"	"55-59 years"	"55-59"	"Male"	"M"	313
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2014"	"2014"	"60-64 years "	"60-64"	"Female"	"F"	242
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2014"	"2014"	"60-64 years "	"60-64"	"Male"	"M"	398
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2014"	"2014"	"65-69 years"	"65-69"	"Female"	"F"	317
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2014"	"2014"	"65-69 years"	"65-69"	"Male"	"M"	466
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2014"	"2014"	"70-74 years"	"70-74"	"Female"	"F"	314
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2014"	"2014"	"70-74 years"	"70-74"	"Male"	"M"	431
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2014"	"2014"	"75-79 years"	"75-79"	"Female"	"F"	227
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2014"	"2014"	"75-79 years"	"75-79"	"Male"	"M"	335
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2014"	"2014"	"80-84 years"	"80-84"	"Female"	"F"	146
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2014"	"2014"	"80-84 years"	"80-84"	"Male"	"M"	222
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2014"	"2014"	"85+ years"	"85+"	"Female"	"F"	111
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2014"	"2014"	"85+ years"	"85+"	"Male"	"M"	139
	"Respiratory System"	"22010-22060"	"Alaska"	"02"	"2014"	"2014"	"50-54 years"	"50-54"	"Female"	"F"	16
	"Respiratory System"	"22010-22060"	"Alaska"	"02"	"2014"	"2014"	"55-59 years"	"55-59"	"Female"	"F"	21
	"Respiratory System"	"22010-22060"	"Alaska"	"02"	"2014"	"2014"	"55-59 years"	"55-59"	"Male"	"M"	29
	"Respiratory System"	"22010-22060"	"Alaska"	"02"	"2014"	"2014"	"60-64 years "	"60-64"	"Female"	"F"	23
	"Respiratory System"	"22010-22060"	"Alaska"	"02"	"2014"	"2014"	"60-64 years "	"60-64"	"Male"	"M"	37
	"Respiratory System"	"22010-22060"	"Alaska"	"02"	"2014"	"2014"	"65-69 years"	"65-69"	"Female"	"F"	24
	"Respiratory System"	"22010-22060"	"Alaska"	"02"	"2014"	"2014"	"65-69 years"	"65-69"	"Male"	"M"	46
	"Respiratory System"	"22010-22060"	"Alaska"	"02"	"2014"	"2014"	"70-74 years"	"70-74"	"Female"	"F"	22
	"Respiratory System"	"22010-22060"	"Alaska"	"02"	"2014"	"2014"	"70-74 years"	"70-74"	"Male"	"M"	37
	"Respiratory System"	"22010-22060"	"Alaska"	"02"	"2014"	"2014"	"75-79 years"	"75-79"	"Female"	"F"	20
	"Respiratory System"	"22010-22060"	"Alaska"	"02"	"2014"	"2014"	"75-79 years"	"75-79"	"Male"	"M"	39
	"Respiratory System"	"22010-22060"	"Alaska"	"02"	"2014"	"2014"	"80-84 years"	"80-84"	"Female"	"F"	16
	"Respiratory System"	"22010-22060"	"Alaska"	"02"	"2014"	"2014"	"80-84 years"	"80-84"	"Male"	"M"	17
	"Respiratory System"	"22010-22060"	"Arizona"	"04"	"2014"	"2014"	"45-49 years"	"45-49"	"Female"	"F"	28
	"Respiratory System"	"22010-22060"	"Arizona"	"04"	"2014"	"2014"	"45-49 years"	"45-49"	"Male"	"M"	37
	"Respiratory System"	"22010-22060"	"Arizona"	"04"	"2014"	"2014"	"50-54 years"	"50-54"	"Female"	"F"	82
	"Respiratory System"	"22010-22060"	"Arizona"	"04"	"2014"	"2014"	"50-54 years"	"50-54"	"Male"	"M"	86
	"Respiratory System"	"22010-22060"	"Arizona"	"04"	"2014"	"2014"	"55-59 years"	"55-59"	"Female"	"F"	146
	"Respiratory System"	"22010-22060"	"Arizona"	"04"	"2014"	"2014"	"55-59 years"	"55-59"	"Male"	"M"	148
	"Respiratory System"	"22010-22060"	"Arizona"	"04"	"2014"	"2014"	"60-64 years "	"60-64"	"Female"	"F"	209
	"Respiratory System"	"22010-22060"	"Arizona"	"04"	"2014"	"2014"	"60-64 years "	"60-64"	"Male"	"M"	237
	"Respiratory System"	"22010-22060"	"Arizona"	"04"	"2014"	"2014"	"65-69 years"	"65-69"	"Female"	"F"	320
	"Respiratory System"	"22010-22060"	"Arizona"	"04"	"2014"	"2014"	"65-69 years"	"65-69"	"Male"	"M"	404
	"Respiratory System"	"22010-22060"	"Arizona"	"04"	"2014"	"2014"	"70-74 years"	"70-74"	"Female"	"F"	424
	"Respiratory System"	"22010-22060"	"Arizona"	"04"	"2014"	"2014"	"70-74 years"	"70-74"	"Male"	"M"	445
	"Respiratory System"	"22010-22060"	"Arizona"	"04"	"2014"	"2014"	"75-79 years"	"75-79"	"Female"	"F"	342
	"Respiratory System"	"22010-22060"	"Arizona"	"04"	"2014"	"2014"	"75-79 years"	"75-79"	"Male"	"M"	396
	"Respiratory System"	"22010-22060"	"Arizona"	"04"	"2014"	"2014"	"80-84 years"	"80-84"	"Female"	"F"	219
	"Respiratory System"	"22010-22060"	"Arizona"	"04"	"2014"	"2014"	"80-84 years"	"80-84"	"Male"	"M"	270
	"Respiratory System"	"22010-22060"	"Arizona"	"04"	"2014"	"2014"	"85+ years"	"85+"	"Female"	"F"	187
	"Respiratory System"	"22010-22060"	"Arizona"	"04"	"2014"	"2014"	"85+ years"	"85+"	"Male"	"M"	193
	"Respiratory System"	"22010-22060"	"Arkansas"	"05"	"2014"	"2014"	"45-49 years"	"45-49"	"Female"	"F"	26
	"Respiratory System"	"22010-22060"	"Arkansas"	"05"	"2014"	"2014"	"45-49 years"	"45-49"	"Male"	"M"	38
	"Respiratory System"	"22010-22060"	"Arkansas"	"05"	"2014"	"2014"	"50-54 years"	"50-54"	"Female"	"F"	93
	"Respiratory System"	"22010-22060"	"Arkansas"	"05"	"2014"	"2014"	"50-54 years"	"50-54"	"Male"	"M"	98
	"Respiratory System"	"22010-22060"	"Arkansas"	"05"	"2014"	"2014"	"55-59 years"	"55-59"	"Female"	"F"	143
	"Respiratory System"	"22010-22060"	"Arkansas"	"05"	"2014"	"2014"	"55-59 years"	"55-59"	"Male"	"M"	186
	"Respiratory System"	"22010-22060"	"Arkansas"	"05"	"2014"	"2014"	"60-64 years "	"60-64"	"Female"	"F"	158
	"Respiratory System"	"22010-22060"	"Arkansas"	"05"	"2014"	"2014"	"60-64 years "	"60-64"	"Male"	"M"	238
	"Respiratory System"	"22010-22060"	"Arkansas"	"05"	"2014"	"2014"	"65-69 years"	"65-69"	"Female"	"F"	277
	"Respiratory System"	"22010-22060"	"Arkansas"	"05"	"2014"	"2014"	"65-69 years"	"65-69"	"Male"	"M"	332
	"Respiratory System"	"22010-22060"	"Arkansas"	"05"	"2014"	"2014"	"70-74 years"	"70-74"	"Female"	"F"	236
	"Respiratory System"	"22010-22060"	"Arkansas"	"05"	"2014"	"2014"	"70-74 years"	"70-74"	"Male"	"M"	347
	"Respiratory System"	"22010-22060"	"Arkansas"	"05"	"2014"	"2014"	"75-79 years"	"75-79"	"Female"	"F"	178
	"Respiratory System"	"22010-22060"	"Arkansas"	"05"	"2014"	"2014"	"75-79 years"	"75-79"	"Male"	"M"	247
	"Respiratory System"	"22010-22060"	"Arkansas"	"05"	"2014"	"2014"	"80-84 years"	"80-84"	"Female"	"F"	128
	"Respiratory System"	"22010-22060"	"Arkansas"	"05"	"2014"	"2014"	"80-84 years"	"80-84"	"Male"	"M"	155
	"Respiratory System"	"22010-22060"	"Arkansas"	"05"	"2014"	"2014"	"85+ years"	"85+"	"Female"	"F"	81
	"Respiratory System"	"22010-22060"	"Arkansas"	"05"	"2014"	"2014"	"85+ years"	"85+"	"Male"	"M"	90
	"Respiratory System"	"22010-22060"	"California"	"06"	"2014"	"2014"	"30-34 years"	"30-34"	"Male"	"M"	26
	"Respiratory System"	"22010-22060"	"California"	"06"	"2014"	"2014"	"35-39 years"	"35-39"	"Female"	"F"	39
	"Respiratory System"	"22010-22060"	"California"	"06"	"2014"	"2014"	"35-39 years"	"35-39"	"Male"	"M"	34
	"Respiratory System"	"22010-22060"	"California"	"06"	"2014"	"2014"	"40-44 years"	"40-44"	"Female"	"F"	67
	"Respiratory System"	"22010-22060"	"California"	"06"	"2014"	"2014"	"40-44 years"	"40-44"	"Male"	"M"	62
	"Respiratory System"	"22010-22060"	"California"	"06"	"2014"	"2014"	"45-49 years"	"45-49"	"Female"	"F"	156
	"Respiratory System"	"22010-22060"	"California"	"06"	"2014"	"2014"	"45-49 years"	"45-49"	"Male"	"M"	159
	"Respiratory System"	"22010-22060"	"California"	"06"	"2014"	"2014"	"50-54 years"	"50-54"	"Female"	"F"	393
	"Respiratory System"	"22010-22060"	"California"	"06"	"2014"	"2014"	"50-54 years"	"50-54"	"Male"	"M"	364
	"Respiratory System"	"22010-22060"	"California"	"06"	"2014"	"2014"	"55-59 years"	"55-59"	"Female"	"F"	703
	"Respiratory System"	"22010-22060"	"California"	"06"	"2014"	"2014"	"55-59 years"	"55-59"	"Male"	"M"	812
	"Respiratory System"	"22010-22060"	"California"	"06"	"2014"	"2014"	"60-64 years "	"60-64"	"Female"	"F"	924
	"Respiratory System"	"22010-22060"	"California"	"06"	"2014"	"2014"	"60-64 years "	"60-64"	"Male"	"M"	1187
	"Respiratory System"	"22010-22060"	"California"	"06"	"2014"	"2014"	"65-69 years"	"65-69"	"Female"	"F"	1377
	"Respiratory System"	"22010-22060"	"California"	"06"	"2014"	"2014"	"65-69 years"	"65-69"	"Male"	"M"	1548
	"Respiratory System"	"22010-22060"	"California"	"06"	"2014"	"2014"	"70-74 years"	"70-74"	"Female"	"F"	1448
	"Respiratory System"	"22010-22060"	"California"	"06"	"2014"	"2014"	"70-74 years"	"70-74"	"Male"	"M"	1589
	"Respiratory System"	"22010-22060"	"California"	"06"	"2014"	"2014"	"75-79 years"	"75-79"	"Female"	"F"	1437
	"Respiratory System"	"22010-22060"	"California"	"06"	"2014"	"2014"	"75-79 years"	"75-79"	"Male"	"M"	1407
	"Respiratory System"	"22010-22060"	"California"	"06"	"2014"	"2014"	"80-84 years"	"80-84"	"Female"	"F"	1151
	"Respiratory System"	"22010-22060"	"California"	"06"	"2014"	"2014"	"80-84 years"	"80-84"	"Male"	"M"	1224
	"Respiratory System"	"22010-22060"	"California"	"06"	"2014"	"2014"	"85+ years"	"85+"	"Female"	"F"	1115
	"Respiratory System"	"22010-22060"	"California"	"06"	"2014"	"2014"	"85+ years"	"85+"	"Male"	"M"	987
	"Respiratory System"	"22010-22060"	"Colorado"	"08"	"2014"	"2014"	"45-49 years"	"45-49"	"Female"	"F"	26
	"Respiratory System"	"22010-22060"	"Colorado"	"08"	"2014"	"2014"	"45-49 years"	"45-49"	"Male"	"M"	23
	"Respiratory System"	"22010-22060"	"Colorado"	"08"	"2014"	"2014"	"50-54 years"	"50-54"	"Female"	"F"	54
	"Respiratory System"	"22010-22060"	"Colorado"	"08"	"2014"	"2014"	"50-54 years"	"50-54"	"Male"	"M"	75
